Onglet;Domaine;Sous Domaine;Indicateur;Champs;Formule;
Effectifs;Evolution du nombre de stagiaires;Evolution du nombre de stagiaires;Nombre de stagiaires;Nombre de stagiaires;Nombre [matricule] par [structure] dont [Type de contrat] est 'stage' et année[Date de sortie] dans ('reference','null')
Effectifs;Emploi;Embauches;Nombre d'embauches par contrats de travail à durée indéterminée;Nombre d’embauches par contrats de travail à durée indéterminée;Nombre [matricule] par [structure] dont [Type de contrat] est 'CDI' et [Date d'entrée] est la date de référence
Effectifs;Emploi;Embauches;Nombre d'embauches par contrats de travail à durée déterminée (dont travailleurs saisonniers);Cadre;Nombre [matricule] par [structure] dont [Type de contrat] est 'CDD' et [Date d'entrée] est la date de référence et [CSP] est 'Cadre'
Effectifs;Emploi;Embauches;Nombre d'embauches par contrats de travail à durée déterminée (dont travailleurs saisonniers);Agent de Maitrise ;Nombre [matricule] par [structure] dont [Type de contrat] est 'CDD' et [Date d'entrée] est la date de référence et [CSP] est 'Agent de maitrise'
Effectifs;Emploi;Embauches;Nombre d'embauches par contrats de travail à durée déterminée (dont travailleurs saisonniers);Employé;Nombre [matricule] par [structure] dont [Type de contrat] est 'CDD' et [Date d'entrée] est la date de référence et [CSP] est 'employé' 
Effectifs;Emploi;Embauches;Nombre d'embauches par contrats de travail à durée déterminée (dont travailleurs saisonniers);Ouvrier;Nombre [matricule] par [structure] dont [Type de contrat]est 'CDD' et [Date d'entrée] est la date de référence et [CSP] est 'Ouvrier' 
Effectifs;Emploi;Embauches;Nombre d'embauches par contrats de travail à durée déterminée (dont travailleurs saisonniers);Technicien;Nombre [matricule] par [structure] dont [Type de contrat] est 'CDD' et [Date d'entrée] est la date de référence et [CSP] est 'Technicien'
Effectifs;Emploi;Embauches;Nombre d'embauches de salariés de moins de vingt-cinq ans;Nombre d'embauches de salariés de moins de vingt-cinq ans;Nombre [matricule] par [structure] dont Age << '26' et année[Date d'entrée] est 'référence'
Effectifs;Emploi;Départs;Total des départs;Cadre;Nombre [matricule] par [structure] dont année[Date de sortie] est 'référence' et [CSP] est 'Cadre'
Effectifs;Emploi;Départs;Total des départs;Agent de Maitrise ;Nombre [matricule] par [structure] dont année[Date de sortie] est 'référence' et [CSP] est 'Agent de maitrise'
Effectifs;Emploi;Départs;Total des départs;Employé;Nombre [matricule] par [structure] dont année[Date de sortie] est 'référence' et [CSP] est 'employé'
Effectifs;Emploi;Départs;Total des départs;Ouvrier;Nombre [matricule] par [structure] dont année[Date de sortie] est 'référence' et [CSP] est 'Ouvrier'
Effectifs;Emploi;Départs;Total des départs;Technicien;Nombre [matricule] par [structure] dont année[Date de sortie] est 'référence' et [CSP] est 'Technicien'
Effectifs;Emploi;Départs;Nombre de démissions;Cadre;Nombre [matricule] par [structure] dont année[Date de sortie] est 'référence' et [Nature de la fin de contrat] est 'démission' et [CSP] est 'Cadre'
Effectifs;Emploi;Départs;Nombre de démissions;Agent de Maitrise ;Nombre [matricule] par [structure] dont année[Date de sortie] est 'référence' et [Nature de la fin de contrat] est 'démission' et [CSP] est 'Agent de maitrise'
Effectifs;Emploi;Départs;Nombre de démissions;Employé;Nombre [matricule] par [structure] dont année[Date de sortie] est 'référence' et [Nature de la fin de contrat] est 'démission' et [CSP] est 'employé'
